feature,importance
PctPublicCoverageAlone,0.3920903766512251
incidenceRate,0.31023784579022434
PctHS25_Over,0.17042573030566663
povertyPercent,0.07512593239710753
PctEmployed16_Over,0.017820082097405508
PctPublicCoverage,0.016749556361048388
PctBlack,0.01016441897900737
PctHS18_24,0.007386057418315121
