iter	RMSE
0	26.60397879
1	25.8695622
2	25.12076396
3	24.4874928
4	23.8956862
5	23.41789577
6	22.99458383
7	22.62386504
8	22.25193808
9	21.92734551
10	21.64557556
11	21.36070664
12	21.1362232
13	20.88482724
14	20.72181948
15	20.57600871
16	20.42199259
17	20.2844099
18	20.15523576
19	20.05911012
20	19.95801291
21	19.84506078
22	19.75384573
23	19.65916787
24	19.55851517
25	19.47926044
26	19.40544609
27	19.32580891
28	19.2667039
29	19.20386493
30	19.15379738
31	19.10644925
32	19.04999946
33	19.00511481
34	18.96154754
35	18.91977826
36	18.88110116
37	18.8432294
38	18.79607009
39	18.77108203
40	18.73482741
41	18.70440983
42	18.6687549
43	18.62758845
44	18.60442013
45	18.58887533
46	18.55207824
47	18.52183001
48	18.48958891
49	18.4657491
50	18.42773914
51	18.40514546
52	18.38129236
53	18.36721587
54	18.33771806
55	18.30657703
56	18.28989907
57	18.25920821
58	18.23778926
59	18.22701833
60	18.20046125
61	18.1853688
62	18.16414816
63	18.13510733
64	18.11727438
65	18.10608551
66	18.07688068
67	18.0618695
68	18.04137835
69	18.01530829
70	18.00274916
71	17.98452861
72	17.96708731
73	17.94672801
74	17.92857218
75	17.91415571
76	17.89582471
77	17.87422381
78	17.86641044
79	17.84584799
80	17.82633573
81	17.81277926
82	17.80444697
83	17.77879297
84	17.76117913
85	17.74943947
86	17.72929055
87	17.70379069
88	17.69270214
89	17.68481386
90	17.66878727
91	17.65159099
92	17.63754395
93	17.61511765
94	17.60846038
95	17.59803686
96	17.57861917
97	17.55708187
98	17.5420377
99	17.52871894
100	17.50149362
101	17.48164875
102	17.4603164
103	17.43458504
104	17.42246014
105	17.41244524
106	17.40284072
107	17.37659334
108	17.36756196
109	17.34941603
110	17.34064434
111	17.33069888
112	17.32127128
113	17.31231302
114	17.2853558
115	17.26838174
116	17.25634423
117	17.24867815
118	17.24172119
119	17.21886969
120	17.19601599
121	17.18784799
122	17.18019868
123	17.16428679
124	17.14197952
125	17.13795478
126	17.12055082
127	17.1053954
128	17.08381616
129	17.06887005
130	17.0585661
131	17.04631078
132	17.01484574
133	16.99425518
134	16.98154509
135	16.9638639
136	16.94562526
137	16.93938467
138	16.93473937
139	16.92008643
140	16.9048344
141	16.88513807
142	16.86836427
143	16.86485453
144	16.85549658
145	16.8330369
146	16.81144007
147	16.79377216
148	16.77349707
149	16.76632773
150	16.74523025
151	16.72315612
152	16.69855094
153	16.68593826
154	16.68353789
155	16.67450795
156	16.65452949
157	16.6460241
158	16.63593723
159	16.61914308
160	16.61378971
161	16.59967265
162	16.57882709
163	16.56531592
164	16.5494143
165	16.53894619
166	16.53458695
167	16.52164275
168	16.50078552
169	16.49750402
170	16.48763227
171	16.46653052
172	16.4505152
173	16.43140231
174	16.42577143
175	16.41815867
176	16.403028
177	16.38612141
178	16.37252971
179	16.36209418
180	16.3492846
181	16.34139561
182	16.32516909
183	16.31867534
184	16.29907196
185	16.28678866
186	16.28339198
187	16.2664619
188	16.25063105
189	16.23768331
190	16.2217068
191	16.20326852
192	16.18813511
193	16.17733439
194	16.15440801
195	16.1336084
196	16.11407017
197	16.10372328
198	16.08927822
199	16.07728833
200	16.06569514
201	16.05729235
202	16.04378518
203	16.02415976
204	16.01528859
205	15.99695775
206	15.97866977
207	15.95763521
208	15.94247338
209	15.93995435
210	15.92727793
211	15.91631681
212	15.90370097
213	15.88807209
214	15.88213886
215	15.86183712
216	15.84385842
217	15.82305457
218	15.81162788
219	15.79178202
220	15.77974799
221	15.77481332
222	15.76802275
223	15.75557628
224	15.74435147
225	15.73394287
226	15.722118
227	15.71436984
228	15.71217445
229	15.70174657
230	15.68638458
231	15.66988277
232	15.65693225
233	15.64775641
234	15.63442663
235	15.62070186
236	15.6020906
237	15.59467892
238	15.58179541
239	15.57330947
240	15.56437386
241	15.55013273
242	15.53879128
243	15.51967826
244	15.50809913
245	15.50455616
246	15.48596834
247	15.46981367
248	15.45444285
249	15.43716286
250	15.42811907
251	15.41685134
252	15.40636064
253	15.39065045
254	15.37775179
255	15.37583889
256	15.37382351
257	15.36324692
258	15.35269106
259	15.34701594
260	15.32750945
261	15.31521169
262	15.3108733
263	15.30897042
264	15.29957094
265	15.28738198
266	15.27290529
267	15.26980769
268	15.25710243
269	15.2404931
270	15.2291194
271	15.2146648
272	15.2041401
273	15.20248016
274	15.19056819
275	15.17709627
276	15.17478405
277	15.16797329
278	15.15732318
279	15.14632683
280	15.13935067
281	15.13598386
282	15.12729368
283	15.11739267
284	15.10668188
285	15.09936675
286	15.08799016
287	15.07363467
288	15.05972065
289	15.05058366
290	15.03967076
291	15.03891531
292	15.0350569
293	15.02084111
294	15.00583096
295	14.99720368
296	14.98646968
297	14.97612466
298	14.95955506
299	14.94531826
300	14.93853251
301	14.9370259
302	14.92445861
303	14.92131332
304	14.91081472
305	14.89964735
306	14.88650102
307	14.87656962
308	14.87363077
309	14.86941554
310	14.85794821
311	14.84608155
312	14.83597777
313	14.82814864
314	14.81883951
315	14.81625094
316	14.80724466
317	14.78451584
318	14.77296579
319	14.76067305
320	14.74661066
321	14.73588196
322	14.73281252
323	14.73133529
324	14.72111743
325	14.7037111
326	14.68144951
327	14.67254368
328	14.65915834
329	14.64716309
330	14.63951542
331	14.63044996
332	14.61879059
333	14.61708837
334	14.59624106
335	14.59244076
336	14.58146602
337	14.57508792
338	14.57181849
339	14.55962749
340	14.54695435
341	14.53529943
342	14.52417479
343	14.51274259
344	14.50295631
345	14.4952572
346	14.48173989
347	14.4746045
348	14.46877686
349	14.4567447
350	14.4438405
351	14.43701425
352	14.43098734
353	14.42163803
354	14.41338566
355	14.40255507
356	14.37624881
357	14.36131772
358	14.35386459
359	14.34399018
360	14.33015168
361	14.31962431
362	14.30692611
363	14.29463551
364	14.2901437
365	14.28001061
366	14.27765166
367	14.26898981
368	14.25814066
369	14.25691893
370	14.25573662
371	14.24945398
372	14.2424133
373	14.2393418
374	14.22890904
375	14.21631691
376	14.20605029
377	14.1870125
378	14.17720611
379	14.16967777
380	14.1606187
381	14.14712609
382	14.13623308
383	14.127189
384	14.11858419
385	14.1085099
386	14.10210211
387	14.10067996
388	14.09194332
389	14.08097647
390	14.07470568
391	14.07369706
392	14.06849223
393	14.06662408
394	14.05982611
395	14.05329833
396	14.05233105
397	14.04977028
398	14.03954693
399	14.03195496
400	14.02150517
401	14.00624574
402	14.00165432
403	13.98864148
404	13.98628104
405	13.96984202
406	13.9595264
407	13.95062847
408	13.94274714
409	13.93425331
410	13.92549119
411	13.9245048
412	13.91639436
413	13.90576852
414	13.89615078
415	13.89040133
416	13.88455066
417	13.87704602
418	13.87285205
419	13.86241253
420	13.85081788
421	13.84097868
422	13.83575014
423	13.82593296
424	13.82503321
425	13.81753343
426	13.80881531
427	13.80437476
428	13.79864339
429	13.79103397
430	13.79013101
431	13.77928194
432	13.76951246
433	13.76497847
434	13.7623294
435	13.75581875
436	13.75104327
437	13.74134877
438	13.73423027
439	13.72199573
440	13.72132258
441	13.70477962
442	13.69603098
443	13.69073826
444	13.68390406
445	13.67506685
446	13.6638241
447	13.65625975
448	13.65554108
449	13.64879537
450	13.6472809
451	13.64098266
452	13.63273489
453	13.62959963
454	13.6216127
455	13.61710782
456	13.60840078
457	13.5971908
458	13.59050614
459	13.58103041
460	13.56265438
461	13.55413429
462	13.54556483
463	13.53913054
464	13.53268141
465	13.52401985
466	13.52313195
467	13.52258111
468	13.51096257
469	13.50270288
470	13.49325807
471	13.49137375
472	13.48478378
473	13.47976871
474	13.47585074
475	13.46871293
476	13.45643039
477	13.44904094
478	13.43926344
479	13.43217816
480	13.42492142
481	13.41489988
482	13.4055421
483	13.39486801
484	13.38469444
485	13.37848726
486	13.36794396
487	13.35776011
488	13.35302584
489	13.34490508
490	13.33918783
491	13.33270107
492	13.33051307
493	13.31720419
494	13.3072215
495	13.29663125
496	13.28264469
497	13.27608891
498	13.26823895
499	13.25424191
500	13.24605394
501	13.23601623
502	13.23110963
503	13.22879547
504	13.22411098
505	13.21627533
506	13.21435488
507	13.21068916
508	13.2015316
509	13.19086017
510	13.18320439
511	13.17406994
512	13.16594982
513	13.15673973
514	13.15133456
515	13.14546313
516	13.13834127
517	13.13359765
518	13.12186308
519	13.1145464
520	13.10447627
521	13.09682663
522	13.08644134
523	13.07615013
524	13.06977786
525	13.0642238
526	13.05385316
527	13.04340091
528	13.03632517
529	13.03248367
530	13.02102508
531	13.01642415
532	13.01041429
533	13.00216024
534	12.99303049
535	12.98902646
536	12.98404266
537	12.97648611
538	12.96999036
539	12.96059945
540	12.95824828
541	12.94872089
542	12.93905786
543	12.93252694
544	12.92810573
545	12.92589273
546	12.9212291
547	12.91379441
548	12.9083321
549	12.90210403
550	12.89567435
551	12.8921599
552	12.88354783
553	12.87657705
554	12.86664209
555	12.85841499
556	12.85141742
557	12.8486245
558	12.84315954
559	12.83542026
560	12.81836622
561	12.81384504
562	12.80537404
563	12.80092359
564	12.79424356
565	12.79090836
566	12.78250411
567	12.76883204
568	12.76636263
569	12.76071229
570	12.7598575
571	12.75395295
572	12.74667461
573	12.74287358
574	12.7397097
575	12.73442799
576	12.72511791
577	12.72387946
578	12.71903023
579	12.7161717
580	12.71047758
581	12.70266625
582	12.69666657
583	12.68541769
584	12.68275975
585	12.67394424
586	12.67066695
587	12.66340278
588	12.6568272
589	12.648021
590	12.64582875
591	12.63554439
592	12.6318629
593	12.63137711
594	12.62474303
595	12.62063
596	12.61686282
597	12.61019903
598	12.60297516
599	12.59554139
